Year,Ugur,ÝOM tamamlajaklar
2031,3. Saglygy goraýyş we lukmançylyk ylymlary,1366.657175588651
2031,4. Oba hojalygy we oba hojalyk ylymlary,736.7502252277304
2031,5. Jemgyýet baradaky ylymlar,4187.789742962329
2031,6. Bilim we pedagogika (mugallymçylyk) ylymlary,2970.1863217253003
2031,7. Ynsanperwer ylymlar,1827.7480786128199
2031,8. Sungat we medeniýet,746.5953130387393
2032,1. Matematika we tebigy ylymlar,3717.191782802611
2032,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",4838.172841428555
2032,3. Saglygy goraýyş we lukmançylyk ylymlary,1488.3869245570522
2032,4. Oba hojalygy we oba hojalyk ylymlary,814.1444794180782
2032,5. Jemgyýet baradaky ylymlar,4729.818015993949
2032,6. Bilim we pedagogika (mugallymçylyk) ylymlary,3316.1820507401935
2032,7. Ynsanperwer ylymlar,2001.679053264968
2032,8. Sungat we medeniýet,831.3277647399036
2033,1. Matematika we tebigy ylymlar,4132.552503086454
2033,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",5341.379861860325
2033,3. Saglygy goraýyş we lukmançylyk ylymlary,1691.9694357628268
2033,4. Oba hojalygy we oba hojalyk ylymlary,903.2324683847
2033,5. Jemgyýet baradaky ylymlar,5056.979990879668
2033,6. Bilim we pedagogika (mugallymçylyk) ylymlary,3615.6886518591023
2033,7. Ynsanperwer ylymlar,2254.4091692711518
2033,8. Sungat we medeniýet,910.541136037549
2034,1. Matematika we tebigy ylymlar,4321.054010165834
2034,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",5565.046202271185
2034,3. Saglygy goraýyş we lukmançylyk ylymlary,1789.044589529413
2034,4. Oba hojalygy we oba hojalyk ylymlary,943.4260196420826
2034,5. Jemgyýet baradaky ylymlar,5180.148483466617
2034,6. Bilim we pedagogika (mugallymçylyk) ylymlary,3742.683435473646
2034,7. Ynsanperwer ylymlar,2372.7571989456005
2034,8. Sungat we medeniýet,944.7709461789143
2035,1. Matematika we tebigy ylymlar,3114.6672079547097
2035,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3477.3339376480662
2035,3. Saglygy goraýyş we lukmançylyk ylymlary,1821.538778097855
2035,4. Oba hojalygy we oba hojalyk ylymlary,653.1283186332848
2035,5. Jemgyýet baradaky ylymlar,859.8975853362845
2035,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1683.6926002958548
2035,7. Ynsanperwer ylymlar,2125.128574447497
2035,8. Sungat we medeniýet,485.7436741594279
