Year,Ugur,Daşary ýurdy tamamlap ykrar edilenler
2024,2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,35.60526315790048
2025,2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,6.131578947373782
2026,2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,0.0
2027,2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,0.0
2028,2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,0.0
2029,2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,0.0
2030,2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,0.0
2031,2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,0.0
2032,2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,0.0
2033,2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,0.0
2034,2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,0.0
2035,2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,0.0
2024,3.Işläp bejerýän önümçilikler,75.85526315790048
2025,3.Işläp bejerýän önümçilikler,44.88157894737378
2026,3.Işläp bejerýän önümçilikler,13.907894736847084
2027,3.Işläp bejerýän önümçilikler,0.0
2028,3.Işläp bejerýän önümçilikler,0.0
2029,3.Işläp bejerýän önümçilikler,0.0
2030,3.Işläp bejerýän önümçilikler,0.0
2031,3.Işläp bejerýän önümçilikler,0.0
2032,3.Işläp bejerýän önümçilikler,0.0
2033,3.Işläp bejerýän önümçilikler,0.0
2034,3.Işläp bejerýän önümçilikler,0.0
2035,3.Işläp bejerýän önümçilikler,0.0
2024,"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",0.0
2025,"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",0.0
2026,"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",0.0
2027,"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",0.0
2028,"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",0.0
2029,"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",0.0
2030,"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",0.0
2031,"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",0.0
2032,"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",0.0
2033,"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",0.0
2034,"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",0.0
2035,"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",0.0
2024,"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",0.23684210526334937
2025,"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",0.0
2026,"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",0.0
2027,"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",0.0
2028,"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",0.0
2029,"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",0.0
2030,"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",0.0
2031,"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",0.0
2032,"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",0.0
2033,"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",0.0
2034,"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",0.0
2035,"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",0.0
2024,6.Gurluşyk ,28.934210526320385
2025,6.Gurluşyk ,9.855263157900481
2026,6.Gurluşyk ,0.0
2027,6.Gurluşyk ,0.0
2028,6.Gurluşyk ,0.0
2029,6.Gurluşyk ,0.0
2030,6.Gurluşyk ,0.0
2031,6.Gurluşyk ,0.0
2032,6.Gurluşyk ,0.0
2033,6.Gurluşyk ,0.0
2034,6.Gurluşyk ,0.0
2035,6.Gurluşyk ,0.0
2024,7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,31.157894736841627
2025,7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,26.447368421053397
2026,7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,21.73684210526335
2027,7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,17.0263157894733
2028,7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,12.315789473685072
2029,7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,7.605263157895024
2030,7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2.894736842104976
2031,7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,0.0
2032,7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,0.0
2033,7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,0.0
2034,7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,0.0
2035,7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,0.0
2024,8.Ulag işleri we ýükleri saklamak,108.55263157895024
2025,8.Ulag işleri we ýükleri saklamak,96.31578947368689
2026,8.Ulag işleri we ýükleri saklamak,84.07894736842354
2027,8.Ulag işleri we ýükleri saklamak,71.84210526316019
2028,8.Ulag işleri we ýükleri saklamak,59.60526315789684
2029,8.Ulag işleri we ýükleri saklamak,47.368421052633494
2030,8.Ulag işleri we ýükleri saklamak,35.131578947370144
2031,8.Ulag işleri we ýükleri saklamak,22.894736842106795
2032,8.Ulag işleri we ýükleri saklamak,10.657894736843446
2033,8.Ulag işleri we ýükleri saklamak,0.0
2034,8.Ulag işleri we ýükleri saklamak,0.0
2035,8.Ulag işleri we ýükleri saklamak,0.0
2024,9.Myhmanhanalaryň we restoranlaryň işleri,0.9078947368425361
2025,9.Myhmanhanalaryň we restoranlaryň işleri,0.0
2026,9.Myhmanhanalaryň we restoranlaryň işleri,0.0
2027,9.Myhmanhanalaryň we restoranlaryň işleri,0.0
2028,9.Myhmanhanalaryň we restoranlaryň işleri,0.0
2029,9.Myhmanhanalaryň we restoranlaryň işleri,0.0
2030,9.Myhmanhanalaryň we restoranlaryň işleri,0.0
2031,9.Myhmanhanalaryň we restoranlaryň işleri,0.0
2032,9.Myhmanhanalaryň we restoranlaryň işleri,0.0
2033,9.Myhmanhanalaryň we restoranlaryň işleri,0.0
2034,9.Myhmanhanalaryň we restoranlaryň işleri,0.0
2035,9.Myhmanhanalaryň we restoranlaryň işleri,0.0
