Ugur,Year,State,Variable,Value
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,JEMI,Ý.B. Işgärleriň sany,2744.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,JEMI,Kabul edilen ÝBI sany,560.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,97.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,JEMI,ÝOM tamamlanlar,200.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,117.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,JEMI,Döredilen ýuridik şahslar,0.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,JEMI,Ortaça aýlyk haky,1130.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2015,JEMI,ÝOM kwota,290.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak", 2015,Döwlet,Işe kabul edilenleriň sany,1300.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak", 2015,Döwlet,Ý.B. Işgärleriň sany,680.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,Döwlet,Işgärleriň sany,10300.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,Döwlet,Işden çykanlaryň sany,700.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,Döwlet,Ý.B. Işgärler göterimde %,
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,Döwlet,Kabul edilen ÝBI sany,86.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,Döwlet dahylsyz,Işgärleriň sany,0.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,JEMI,Işgärleriň sany,10300.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,JEMI,Ý.B. Işgärleriň sany,680.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,JEMI,Kabul edilen ÝBI sany,86.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,24.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,JEMI,ÝOM tamamlanlar,50.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,18.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,JEMI,Döredilen ýuridik şahslar,0.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,JEMI,Ortaça aýlyk haky,1114.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2015,JEMI,ÝOM kwota,45.0
6.Gurluşyk , 2015,Döwlet,Işe kabul edilenleriň sany,19600.0
6.Gurluşyk , 2015,Döwlet,Ý.B. Işgärleriň sany,3841.0
6.Gurluşyk ,2015,Döwlet,Işgärleriň sany,51900.0
6.Gurluşyk ,2015,Döwlet,Işden çykanlaryň sany,21500.0
6.Gurluşyk ,2015,Döwlet,Ý.B. Işgärler göterimde %,
6.Gurluşyk ,2015,Döwlet,Kabul edilen ÝBI sany,1450.0
6.Gurluşyk ,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
6.Gurluşyk ,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
6.Gurluşyk ,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
6.Gurluşyk ,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
6.Gurluşyk ,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
6.Gurluşyk ,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
6.Gurluşyk ,2015,JEMI,Işgärleriň sany,51900.0
6.Gurluşyk ,2015,JEMI,Ý.B. Işgärleriň sany,3841.0
6.Gurluşyk ,2015,JEMI,Kabul edilen ÝBI sany,1450.0
6.Gurluşyk ,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
6.Gurluşyk ,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,136.0
6.Gurluşyk ,2015,JEMI,ÝOM tamamlanlar,200.0
6.Gurluşyk ,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,217.0
6.Gurluşyk ,2015,JEMI,Döredilen ýuridik şahslar,0.0
6.Gurluşyk ,2015,JEMI,Ortaça aýlyk haky,1145.0
6.Gurluşyk ,2015,JEMI,ÝOM kwota,570.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak , 2015,Döwlet,Işe kabul edilenleriň sany,13300.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak , 2015,Döwlet,Ý.B. Işgärleriň sany,3058.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,Döwlet,Işgärleriň sany,27800.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,Döwlet,Işden çykanlaryň sany,12300.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,Döwlet,Ý.B. Işgärler göterimde %,
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,Döwlet,Kabul edilen ÝBI sany,1463.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,JEMI,Işgärleriň sany,27800.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,JEMI,Ý.B. Işgärleriň sany,3058.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,JEMI,Kabul edilen ÝBI sany,1463.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,108.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,JEMI,ÝOM tamamlanlar,100.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,77.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,JEMI,Döredilen ýuridik şahslar,0.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,JEMI,Ortaça aýlyk haky,985.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,JEMI,ÝOM kwota,450.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2015,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,63366.0
8.Ulag işleri we ýükleri saklamak, 2015,Döwlet,Işe kabul edilenleriň sany,6800.0
8.Ulag işleri we ýükleri saklamak, 2015,Döwlet,Ý.B. Işgärleriň sany,4102.0
8.Ulag işleri we ýükleri saklamak,2015,Döwlet,Işgärleriň sany,47700.0
8.Ulag işleri we ýükleri saklamak,2015,Döwlet,Işden çykanlaryň sany,6000.0
8.Ulag işleri we ýükleri saklamak,2015,Döwlet,Ý.B. Işgärler göterimde %,
8.Ulag işleri we ýükleri saklamak,2015,Döwlet,Kabul edilen ÝBI sany,585.0
8.Ulag işleri we ýükleri saklamak,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
8.Ulag işleri we ýükleri saklamak,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
8.Ulag işleri we ýükleri saklamak,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
8.Ulag işleri we ýükleri saklamak,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
8.Ulag işleri we ýükleri saklamak,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
8.Ulag işleri we ýükleri saklamak,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
8.Ulag işleri we ýükleri saklamak,2015,JEMI,Işgärleriň sany,47700.0
8.Ulag işleri we ýükleri saklamak,2015,JEMI,Ý.B. Işgärleriň sany,4102.0
8.Ulag işleri we ýükleri saklamak,2015,JEMI,Kabul edilen ÝBI sany,585.0
8.Ulag işleri we ýükleri saklamak,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
8.Ulag işleri we ýükleri saklamak,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,145.0
8.Ulag işleri we ýükleri saklamak,2015,JEMI,ÝOM tamamlanlar,200.0
8.Ulag işleri we ýükleri saklamak,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,252.0
8.Ulag işleri we ýükleri saklamak,2015,JEMI,Döredilen ýuridik şahslar,0.0
8.Ulag işleri we ýükleri saklamak,2015,JEMI,Ortaça aýlyk haky,1348.0
8.Ulag işleri we ýükleri saklamak,2015,JEMI,ÝOM kwota,226.0
8.Ulag işleri we ýükleri saklamak,2015,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,6363.0
9.Myhmanhanalaryň we restoranlaryň işleri, 2015,Döwlet,Işe kabul edilenleriň sany,3700.0
9.Myhmanhanalaryň we restoranlaryň işleri, 2015,Döwlet,Ý.B. Işgärleriň sany,555.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,Döwlet,Işgärleriň sany,5000.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,Döwlet,Işden çykanlaryň sany,3600.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,Döwlet,Ý.B. Işgärler göterimde %,
9.Myhmanhanalaryň we restoranlaryň işleri,2015,Döwlet,Kabul edilen ÝBI sany,411.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,JEMI,Işgärleriň sany,5000.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,JEMI,Ý.B. Işgärleriň sany,555.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,JEMI,Kabul edilen ÝBI sany,411.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
9.Myhmanhanalaryň we restoranlaryň işleri,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,20.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,22.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,JEMI,Döredilen ýuridik şahslar,0.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,JEMI,Ortaça aýlyk haky,973.0
9.Myhmanhanalaryň we restoranlaryň işleri,2015,JEMI,ÝOM kwota,14.0
10.Habar beriş serişdeleri we aragatnaşyk, 2015,Döwlet,Işe kabul edilenleriň sany,2500.0
10.Habar beriş serişdeleri we aragatnaşyk, 2015,Döwlet,Ý.B. Işgärleriň sany,3275.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,Döwlet,Işgärleriň sany,17800.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,Döwlet,Işden çykanlaryň sany,2500.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,Döwlet,Ý.B. Işgärler göterimde %,
10.Habar beriş serişdeleri we aragatnaşyk,2015,Döwlet,Kabul edilen ÝBI sany,460.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,JEMI,Işgärleriň sany,17800.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,JEMI,Ý.B. Işgärleriň sany,3275.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,JEMI,Kabul edilen ÝBI sany,460.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
10.Habar beriş serişdeleri we aragatnaşyk,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,116.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,JEMI,ÝOM tamamlanlar,200.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,182.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,JEMI,Döredilen ýuridik şahslar,0.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,JEMI,Ortaça aýlyk haky,1209.0
